wisid                                            ,school                                                     ,location                 ,latitude    ,longitude    , , ,
49396                                            ,Jacksonville State University                              ,"Jacksonville, AL"       ,33.78499465 ,-85.76358677 , , ,
49409                                            ,Jacksonville University                                    ,"Jacksonville, FL"       ,30.3537227  ,-81.60730605 , , ,
49435                                            ,James Madison University                                   ,"Harrisonburg, VA"       ,38.4364404  ,-78.86896481 , , ,
49535                                            ,John Carroll University                                    ,"University Heights, OH" ,41.4905654  ,-81.5286149  , , ,
49126                                            ,Johns Hopkins University                                   ,"Baltimore, MD"          ,39.33020225 ,-76.62186802 , , ,
49513                                            ,Johnson C. Smith University                                ,"Charlotte, NC"          ,35.24378195 ,-80.8554472  , , ,
49331                                            ,Juniata College                                            ,"Huntingdon, PA"         ,40.50192085 ,-78.01566612 , , ,
49316                                            ,Kalamazoo College                                          ,"Kalamazoo, MI"          ,42.2907304  ,-85.59937672 , , ,
49161                                            ,Kansas State University                                    ,"Manhattan, KS"          ,39.2087029  ,-96.5884441  , , ,
49219                                            ,Kean University                                            ,"Union, NJ"              ,40.6786462  ,-74.2342993  , , ,
49377                                            ,Kent State University                                      ,"Kent, OH"               ,41.1443525  ,-81.33982833 , , ,
49292                                            ,Kentucky State University                                  ,"Frankfort, KY"          ,38.2020167  ,-84.8563388  , , ,
49298                                            ,Kentucky Wesleyan College                                  ,"Owensboro, KY"          ,37.7444927  ,-87.1202748  , , ,
49233                                            ,Kenyon College                                             ,"Gambier, OH"            ,40.37264735 ,-82.39428987 , , ,
49326                                            ,King`s College (Pennsylvania)                              ,"Wilkes-Barre, PA"       ,41.2492825  ,-75.87666    , , ,
49554                                            ,Knox College                                               ,"Galesburg, IL"          ,40.943106   ,-90.3712055  , , ,
49112                                            ,Kutztown University of Pennsylvania                        ,"Kutztown, PA"           ,40.5098059  ,-75.78098829 , , ,
49416                                            ,La Salle University                                        ,"Philadelphia, PA"       ,40.0374695  ,-75.15401786 , , ,
49386                                            ,Lafayette College                                          ,"Easton, PA"             ,40.7356737  ,-75.23869545 , , ,
49338                                            ,Lake Forest College                                        ,"Lake Forest, IL"        ,42.24761745 ,-87.82948207 , , ,
49175                                            ,Lakeland College                                           ,"Sheboygan, WI"          ,43.8413829  ,-87.8820351  , , ,
49296                                            ,Lane College                                               ,"Jackson, TN"            ,35.6282633  ,-88.80669167 , , ,
49555                                            ,Lawrence University                                        ,"Appleton, WI"           ,44.26073645 ,-88.39891226 , , ,
49332                                            ,Lebanon Valley College                                     ,"Annville, PA"           ,40.3310459  ,-76.5145469  , , ,
49387                                            ,Lehigh University                                          ,"Bethlehem, PA"          ,40.6068028  ,-75.3782488  , , ,
49471                                            ,Lenoir-Rhyne College                                       ,"Hickory, NC"            ,35.7372905  ,-81.3241487  , , ,
49243                                            ,Lewis and Clark College                                    ,"Portland, OR"           ,45.448433   ,-122.6698744 , , ,
49505                                            ,Liberty University                                         ,"Lynchburg, VA"          ,37.35394665 ,-79.15315332 , , ,
49244                                            ,Linfield College                                           ,"Mc Minnville, OR"       ,45.1983055  ,-123.1981407 , , ,
49514                                            ,Livingstone College                                        ,"Salisbury, NC"          ,35.67128695 ,-80.48567951 , , ,
49095                                            ,Lock Haven University of Pennsylvania                      ,"Lock Haven, PA"         ,41.1410173  ,-77.4629759  , , ,
49489                                            ,Long Island University                                     ,"Brookville, NY"         ,40.8202727  ,-73.5967449  , , ,
49185                                            ,Loras College                                              ,"Dubuque, IA"            ,42.5041692  ,-90.6815163  , , ,
49304                                            ,Louisiana College                                          ,"Pineville, LA"          ,31.3235321  ,-92.42584883 , , ,
48981                                            ,Louisiana State University                                 ,"Baton Rouge, LA"        ,30.40576185 ,-91.1859745  , , ,
48998                                            ,Louisiana Tech University                                  ,"Ruston, LA"             ,32.53293055 ,-92.65086423 , , ,
49186                                            ,Luther College                                             ,"Decorah, IA"            ,43.3147215  ,-91.8062276  , , ,
