wis_id,school_short,location,coach,,,,
49132,St. Lawrence University,"Canton, NY",Sim AI,,,,
49451,St. Mary`s College of California,"Moraga, CA",Sim AI,,,,
49551,St. Norbert College,"De Pere, WI",Sim AI,,,,
49566,St. Olaf College,"Northfield, MN",mfnmyers,,,,
49394,St. Peter`s College,"Jersey City, NJ",Sim AI,,,,
48972,Stanford University,"Stanford, CA",Sim AI,,,,
49323,State University College at Brockport ,"Brockport, NY",Sim AI,,,State University Collegeat Brockport ,
49222,State University of New York College at Cortland,"Cortland, NY",ibsnoman,,State University of New York College at Cortland,State University Collegeat Cortland ,
49009,Stephen F. Austin State University,"Nacogdoches, TX",Sim AI,,,,
49531,Stillman College,"Tuscaloosa, AL",Sim AI,,,,
49495,Stonehill College,"Easton, MA",Sim AI,,,,
49427,Stony Brook University,"Stony Brook, NY",Sim AI,,,,
49309,Sul Ross State University,"Alpine, TX",Matt010881,,,,
49328,Susquehanna University,"Selinsgrove, PA",GabeTheLegen,,,,
49340,Syracuse University,"Syracuse, NY",Sim AI,,,,
49077,Tarleton State University,"Stephenville, TX",majresorter,,,,
49341,Temple University,"Philadelphia, PA",jawz,,,,
49400,Tennessee State University,"Nashville, TN",Sim AI,,,,
49390,Tennessee Technological University,"Cookeville, TN",Sim AI,,,,
49171,"Texas A&M University, College Station","College Station, TX",scrodz,,,,
49082,Texas A&M University-Commerce,"Commerce, TX",G8rs1,,,"Texas A&M University, Commerce",
49083,Texas A&M University-Kingsville,"Kingsville, TX",Sim AI,,,"Texas A&M University, Kingsville",
49369,Texas Christian University,"Fort Worth, TX",Sim AI,,,,
49310,Texas Lutheran University,"Seguin, TX",Sim AI,,,,
49503,Texas Southern University,"Houston, TX",bhouska,,,,
49010,"Texas State University, San Marcos","San Marcos, TX",4Dubs,,,,
49170,Texas Tech University,"Lubbock, TX",Sim AI,,,,
49039,The Citadel,"Charleston, SC",sideshowron,,,,
49223,The College of New Jersey,"Ewing, NJ",Sim AI,,,,
49192,Thiel College,"Greenville, PA",Sim AI,,,,
49277,Thomas More College,"Crestview Hills, KY",Sim AI,,,,
49388,Towson University,"Towson, MD",Sim AI,,,,
49210,Trinity College (Connecticut),"Hartford, CT",durtywhtboy,,,,
49260,Trinity University (Texas),"San Antonio, TX",lonniemc,,,,
48997,Troy State University,"Troy, AL",Sim AI,,,,
49090,Truman State University,"Kirksville, MO",Sim AI,,,,
49211,Tufts University,"Medford, MA",Sim AI,,,,
49370,Tulane University,"New Orleans, LA",Sim AI,,,,
49469,Tusculum College,"Greeneville, TN",clememp,,,,
49294,Tuskegee University,"Tuskegee, AL",IDontBelieve,,,,
