wisid,record,conference,coach,division,location
53337,8-5,NCC,Sim AI,D-II,"Grand Forks, ND"
53262,8-6,Sun Belt,Sim AI,D-IA,"Denton, TX"
53488,1-12,PAC-10,Sim AI,D-IA,"Eugene, OR"
53532,5-8,Ivy,Sim AI,D-IAA,"Philadelphia, PA"
53788,3-10,NWC,Sim AI,D-III,"Tacoma, WA"
53831,7-6,SCAC,Sim AI,D-III,"Redlands, CA"
53282,1-12,A10,Sim AI,D-IAA,"Kingston, RI"
53502,5-8,A10,Sim AI,D-IAA,"Richmond, VA"
53652,6-7,CC,Sim AI,D-III,"Rochester, NY"
53579,8-5,PFL,Sim AI,D-IAA,"San Diego, CA"
53246,2-11,SEC,Sim AI,D-IA,"Columbia, SC"
53338,2-11,NCC,Sim AI,D-II,"Vermillion, SD"
53447,1-12,Big East,Sim AI,D-IA,"Tampa, FL"
53474,2-11,C-USA,Sim AI,D-IA,"Hattiesburg, MS"
53730,6-7,MIAC,Sim AI,D-III,"St. Paul, MN"
53296,9-4,SoCon,Sim AI,D-IAA,"Chattanooga, TN"
53566,8-5,OVC,Sim AI,D-IAA,"Martin, TN"
53268,4-9,WAC,Sim AI,D-IA,"El Paso, TX"
53827,7-6,SCAC,Sim AI,D-III,"Sewanee, TN"
53482,3-10,MAC,Sim AI,D-IA,"Toledo, OH"
53465,0-13,C-USA,Sim AI,D-IA,"Tulsa, OK"
53270,7-8,WAC,Sim AI,D-IA,"Salt Lake City, UT"
53419,7-7,ACC,Sim AI,D-IA,"Charlottesville, VA"
53599,6-7,GSC,Sim AI,D-II,"Livingston, AL"
53846,4-9,WIAC,Sim AI,D-III,"La Crosse, WI"
53456,4-9,Big Ten,Sim AI,D-IA,"Madison, WI"
53847,9-4,WIAC,Sim AI,D-III,"Platteville, WI"
53848,2-11,WIAC,Sim AI,D-III,"River Falls, WI"
53454,9-5,Big Ten,huskerfan26,D-IA,"Ann Arbor, MI"
53455,9-5,Big Ten,buckeyedick,D-IA,"Minneapolis, MN"
53429,12-2,Big 12,t_roy84,D-IA,"Columbia, MO"
53428,11-3,Big 12,mraston,D-IA,"Lincoln, NE"
53275,4-9,WAC,dcamp1225,D-IA,"Las Vegas, NV"
53418,11-3,ACC,tdfactory,D-IA,"Chapel Hill, NC"
53523,14-2,Gateway,chetty1963,D-IAA,"Cedar Falls, IA"
53462,11-2,Big Ten,lsteenberg,D-IA,"Notre Dame, IN"
53433,11-3,Big 12,rorisio,D-IA,"Norman, OK"
53443,10-3,Big East,waynemiller,D-IA,"Pittsburgh, PA"
53495,10-3,PAC-10,huskerfan58,D-IA,"Los Angeles, CA"
53500,11-3,SEC,rdierkers,D-IA,"Knoxville, TN"
53434,11-2,Big 12,cardsrunner,D-IA,"Austin, TX"
53489,3-10,PAC-10,flyin7,D-IA,"Seattle, WA"
53597,6-7,GSC,blutounc,D-II,"Carrollton, GA"
53851,6-7,WIAC,wizbang1943,D-III,"Oshkosh, WI"
53849,6-7,WIAC,Sim AI,D-III,"Stevens Point, WI"
53852,2-11,WIAC,Sim AI,D-III,"Menomonie, WI"
53850,3-10,WIAC,Sim AI,D-III,"Whitewater, WI"
53271,3-10,WAC,Sim AI,D-IA,"Laramie, WY"
53647,9-4,CC,Sim AI,D-III,"Collegeville, PA"
53498,1-12,PAC-10,Sim AI,D-IA,"USAF Academy, CO"
53263,5-8,Sun Belt,Sim AI,D-IA,"Logan, UT"
53664,1-12,FFBC,Sim AI,D-III,"Utica, NY"
